"filename", "language", "JSON", "pip requirements", "PostCSS", "JavaScript", "JavaScript JSX", "Python", "Ini", "HTML", "XML", "Markdown", "comment", "blank", "total"
"d:\vscodeProjects\arena-fastapi\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 27, 150
"d:\vscodeProjects\arena-fastapi\alembic\env.py", "Python", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 5, 39
"d:\vscodeProjects\arena-fastapi\alembic\versions\14cc2b6241d1_change_contest_duration_to_interval.py", "Python", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 8, 40
"d:\vscodeProjects\arena-fastapi\alembic\versions\154a09fc8b90_add_task_formats_and_examples.py", "Python", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 14, 8, 37
"d:\vscodeProjects\arena-fastapi\alembic\versions\20a76f6bfbbd_update_refresh_token.py", "Python", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 14, 7, 39
"d:\vscodeProjects\arena-fastapi\alembic\versions\2666a1d2893d_add_user_role_enum.py", "Python", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 8, 14, 61
"d:\vscodeProjects\arena-fastapi\alembic\versions\365141da0201_add_task_business_logic.py", "Python", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 16, 22, 226
"d:\vscodeProjects\arena-fastapi\alembic\versions\3a5535ff9bf8_set_default_points_by_difficulty.py", "Python", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 10, 26, 83
"d:\vscodeProjects\arena-fastapi\alembic\versions\4bc29189a46a_change_duration_to_integer_minutes.py", "Python", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 10, 9, 44
"d:\vscodeProjects\arena-fastapi\alembic\versions\4ec22bd48818_add_sandbox_structures.py", "Python", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 11, 16, 108
"d:\vscodeProjects\arena-fastapi\alembic\versions\4ff3cdc93c91_change_task_status_default.py", "Python", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 11, 9, 42
"d:\vscodeProjects\arena-fastapi\alembic\versions\51f2c9ee33bb_add_contest_user_structures.py", "Python", 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 16, 17, 147
"d:\vscodeProjects\arena-fastapi\alembic\versions\5e5918ce4ac4_add_many_sandboxes_per_one_solution.py", "Python", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 14, 7, 54
"d:\vscodeProjects\arena-fastapi\alembic\versions\76c8aeeeae60_add_contest_task_structures.py", "Python", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 13, 18, 155
"d:\vscodeProjects\arena-fastapi\alembic\versions\809f83b210bb_added_points_to_task.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 14, 8, 41
"d:\vscodeProjects\arena-fastapi\alembic\versions\970c436f43d3_add_task_ready_status.py", "Python", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 14, 8, 33
"d:\vscodeProjects\arena-fastapi\alembic\versions\9cfa7421329f_populate_reference_data.py", "Python", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 16, 20, 148
"d:\vscodeProjects\arena-fastapi\alembic\versions\b3713b96323a_add_solution_structures.py", "Python", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 11, 15, 143
"d:\vscodeProjects\arena-fastapi\alembic\versions\d87686434be7_add_refresh_token.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 14, 8, 41
"d:\vscodeProjects\arena-fastapi\alembic\versions\d9bc72401ac6_add_contest_structures.py", "Python", 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 20, 28, 290
"d:\vscodeProjects\arena-fastapi\alembic\versions\eeaa26a3abcc_add_user_triggers_procedures_views.py", "Python", 0, 0, 0, 0, 0, 240, 0, 0, 0, 0, 23, 23, 286
"d:\vscodeProjects\arena-fastapi\alembic\versions\f691882dbdf6_add_unique_to_nickname.py", "Python", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 14, 8, 35
"d:\vscodeProjects\arena-fastapi\backend\app\database.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 6, 26
"d:\vscodeProjects\arena-fastapi\backend\app\dependencies\auth.py", "Python", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, -1, 3
"d:\vscodeProjects\arena-fastapi\backend\app\main.py", "Python", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, -1, 8, 26
"d:\vscodeProjects\arena-fastapi\backend\app\models\contest.py", "Python", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, -2, 1, 15
"d:\vscodeProjects\arena-fastapi\backend\app\models\sandbox.py", "Python", 0, 0, 0, 0, 0, -5, 0, 0, 0, 0, -1, 2, -4
"d:\vscodeProjects\arena-fastapi\backend\app\models\solution.py", "Python", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -3
"d:\vscodeProjects\arena-fastapi\backend\app\models\task.py", "Python", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
